Measure	Gestational age (exact weeks).Gestational age (exact weeks)	Centiles.3 rd	Centiles.5 th	Centiles.10 th	Centiles.50 th	Centiles.90 th	Centiles.95 th	Centiles.97 th
Head Circumference	14	87.4	88.7	90.7	97.9	105.0	107.1	108.4
Head Circumference	15	99.2	100.6	102.8	110.4	118.0	120.1	121.5
Head Circumference	16	111.1	112.6	114.9	122.9	130.9	133.2	134.7
Head Circumference	17	123.0	124.6	127.0	135.4	143.9	146.3	147.8
Head Circumference	18	134.9	136.6	139.1	147.9	156.7	159.2	160.9
Head Circumference	19	146.8	148.5	151.1	160.3	169.5	172.1	173.8
Head Circumference	20	158.5	160.2	163.0	172.5	182.0	184.7	186.5
Head Circumference	21	170.1	171.9	174.7	184.5	194.3	197.1	199.0
Head Circumference	22	181.4	183.3	186.2	196.3	206.4	209.3	211.2
Head Circumference	23	192.6	194.5	197.5	207.8	218.2	221.2	223.1
Head Circumference	24	203.5	205.4	208.5	219.1	229.7	232.7	234.7
Head Circumference	25	214.1	216.0	219.1	230.0	240.8	243.9	245.9
Head Circumference	26	224.3	226.3	229.5	240.5	251.6	254.7	256.7
Head Circumference	27	234.1	236.2	239.4	250.7	261.9	265.1	267.2
Head Circumference	28	243.6	245.7	248.9	260.4	271.8	275.1	277.2
Head Circumference	29	252.5	254.7	258.0	269.6	281.3	284.6	286.7
Head Circumference	30	261.0	263.2	266.5	278.4	290.2	293.6	295.8
Head Circumference	31	268.9	271.1	274.6	286.6	298.7	302.1	304.4
Head Circumference	32	276.3	278.5	282.1	294.4	306.7	310.2	312.5
Head Circumference	33	283.0	285.3	288.9	301.5	314.1	317.7	320.0
Head Circumference	34	289.1	291.5	295.2	308.1	321.0	324.7	327.1
Head Circumference	35	294.5	296.9	300.8	314.1	327.4	331.2	333.6
Head Circumference	36	299.2	301.7	305.6	319.4	333.2	337.1	339.6
Head Circumference	37	303.1	305.7	309.8	324.1	338.4	342.5	345.1
Head Circumference	38	306.1	308.9	313.1	328.1	343.0	347.3	350.0
Head Circumference	39	308.3	311.2	315.7	331.4	347.1	351.5	354.4
Head Circumference	40	309.6	312.7	317.4	333.9	350.5	355.2	358.3
