Gestational Age (weeks)	Measure	3rd Percentile	5th Percentile	10th Percentile	50th Percentile	90th Percentile	95th Percentile	97th Percentile
3	Abdominal Circumference							
14	Abdominal Circumference	72.9	73.8	75.3	80.6	85.9	87.4	88.4
15	Abdominal Circumference	82.9	84.1	85.8	91.9	98.1	99.8	100.9
16	Abdominal Circumference	93.0	94.3	96.3	103.2	110.1	112.1	113.4
17	Abdominal Circumference	103.1	104.5	106.7	114.4	122.1	124.3	125.7
18	Abdominal Circumference	113.2	114.8	117.2	125.6	134.0	136.4	138.0
19	Abdominal Circumference	123.3	125.0	127.6	136.7	145.8	148.4	150.1
20	Abdominal Circumference	133.4	135.2	138.0	147.7	157.5	160.3	162.1
21	Abdominal Circumference	143.4	145.3	148.3	158.7	169.1	172.0	174.0
22	Abdominal Circumference	153.5	155.5	158.6	169.6	180.6	183.7	185.7
23	Abdominal Circumference	163.4	165.6	168.9	180.4	192.0	195.3	197.4
24	Abdominal Circumference	173.3	175.6	179.0	191.2	203.3	206.8	209.0
25	Abdominal Circumference	183.2	185.5	189.1	201.8	214.5	218.1	220.5
26	Abdominal Circumference	192.9	195.4	199.1	212.4	225.7	229.5	231.9
27	Abdominal Circumference	202.6	205.1	209.1	222.9	236.8	240.7	243.2
28	Abdominal Circumference	212.1	214.7	218.8	233.3	247.8	251.9	254.5
29	Abdominal Circumference	221.4	224.2	228.5	243.6	258.7	263.0	265.8
30	Abdominal Circumference	230.6	233.5	238.0	253.8	269.6	274.1	277.0
31	Abdominal Circumference	239.6	242.6	247.4	263.9	280.5	285.2	288.3
32	Abdominal Circumference	248.4	251.6	256.5	273.9	291.3	296.3	299.5
33	Abdominal Circumference	256.9	260.3	265.5	283.8	302.2	307.4	310.7
34	Abdominal Circumference	265.2	268.7	274.3	293.6	313.0	318.5	322.0
35	Abdominal Circumference	273.2	276.9	282.8	303.3	323.8	329.6	333.4
36	Abdominal Circumference	280.8	284.8	291.0	312.8	334.6	340.9	344.9
37	Abdominal Circumference	288.1	292.4	299.0	322.3	345.5	352.1	356.4
38	Abdominal Circumference	295.1	299.6	306.7	331.6	356.4	363.5	368.1
39	Abdominal Circumference	301.6	306.5	314.1	340.8	367.4	375.0	379.9
40	Abdominal Circumference	307.7	312.9	321.1	349.8	378.5	386.7	392.0
