Gestational Age (weeks)	Measure	-3 SD	-2 SD	-1 SD	0 SD	1 SD	2 SD	3 SD	SourceFile	ParseTimestamp
14	Abdominal Circumference	68.2	72.4	76.5	80.6	84.7	88.9	93.0	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
15	Abdominal Circumference	77.6	82.4	87.2	91.9	96.7	101.5	106.3	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
16	Abdominal Circumference	87.0	92.4	97.8	103.2	108.6	114.0	119.5	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
17	Abdominal Circumference	96.4	102.4	108.4	114.4	120.4	126.5	132.5	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
18	Abdominal Circumference	105.9	112.4	119.0	125.6	132.2	138.8	145.3	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
19	Abdominal Circumference	115.3	122.5	129.6	136.7	143.8	150.9	158.0	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
20	Abdominal Circumference	124.8	132.5	140.1	147.7	155.4	163.0	170.6	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
21	Abdominal Circumference	134.4	142.5	150.6	158.7	166.8	174.9	183.0	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
22	Abdominal Circumference	143.8	152.4	161.0	169.6	178.2	186.8	195.3	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
23	Abdominal Circumference	153.3	162.3	171.4	180.4	189.5	198.5	207.5	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
24	Abdominal Circumference	162.7	172.2	181.7	191.2	200.6	210.1	219.6	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
25	Abdominal Circumference	172.1	182.0	191.9	201.8	211.8	221.7	231.6	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
26	Abdominal Circumference	181.3	191.7	202.0	212.4	222.8	233.1	243.5	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
27	Abdominal Circumference	190.4	201.3	212.1	222.9	233.7	244.5	255.4	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
28	Abdominal Circumference	199.4	210.7	222.0	233.3	244.6	255.9	267.2	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
29	Abdominal Circumference	208.2	220.0	231.8	243.6	255.4	267.2	279.0	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
30	Abdominal Circumference	216.8	229.1	241.5	253.8	266.2	278.5	290.9	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
31	Abdominal Circumference	225.1	238.1	251.0	263.9	276.9	289.8	302.7	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
32	Abdominal Circumference	233.2	246.8	260.3	273.9	287.5	301.1	314.7	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
33	Abdominal Circumference	240.9	255.2	269.5	283.8	298.2	312.5	326.8	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
34	Abdominal Circumference	248.3	263.4	278.5	293.6	308.7	323.9	339.0	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
35	Abdominal Circumference	255.2	271.2	287.3	303.3	319.3	335.3	351.4	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
36	Abdominal Circumference	261.8	278.8	295.8	312.8	329.9	346.9	363.9	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
37	Abdominal Circumference	267.8	286.0	304.1	322.3	340.4	358.6	376.8	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
38	Abdominal Circumference	273.3	292.7	312.2	331.6	351.0	370.4	389.9	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
39	Abdominal Circumference	278.2	299.1	319.9	340.8	361.6	382.4	403.3	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
40	Abdominal Circumference	282.6	305.0	327.4	349.8	372.2	394.6	417.1	grow_fetal-zs_ac_table.txt	2025-09-26T17:27:11
