Gestational Age (weeks)	Measure	3rd Percentile	5th Percentile	10th Percentile	50th Percentile	90th Percentile	95th Percentile	97th Percentile	SourceFile	ParseTimestamp
14	Biparietal Diameter	26.3	26.7	27.4	29.6	31.8	32.5	32.9	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
15	Biparietal Diameter	29.1	29.6	30.2	32.6	34.9	35.6	36.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
16	Biparietal Diameter	32.0	32.5	33.2	35.7	38.1	38.8	39.3	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
17	Biparietal Diameter	35.0	35.5	36.2	38.8	41.4	42.1	42.6	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
18	Biparietal Diameter	38.0	38.5	39.3	42.0	44.7	45.4	45.9	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
19	Biparietal Diameter	41.1	41.6	42.4	45.2	48.0	48.8	49.3	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
20	Biparietal Diameter	44.1	44.7	45.5	48.4	51.4	52.2	52.8	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
21	Biparietal Diameter	47.2	47.8	48.6	51.7	54.8	55.6	56.2	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
22	Biparietal Diameter	50.3	50.9	51.8	55.0	58.1	59.0	59.6	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
23	Biparietal Diameter	53.4	54.0	54.9	58.2	61.5	62.4	63.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
24	Biparietal Diameter	56.4	57.0	58.0	61.4	64.8	65.7	66.4	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
25	Biparietal Diameter	59.4	60.0	61.0	64.5	68.0	69.0	69.7	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
26	Biparietal Diameter	62.3	63.0	64.0	67.6	71.2	72.2	72.9	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
27	Biparietal Diameter	65.2	65.9	66.9	70.6	74.3	75.3	76.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
28	Biparietal Diameter	67.9	68.6	69.7	73.5	77.3	78.3	79.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
29	Biparietal Diameter	70.6	71.3	72.4	76.3	80.1	81.2	81.9	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
30	Biparietal Diameter	73.1	73.9	75.0	78.9	82.8	84.0	84.7	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
31	Biparietal Diameter	75.5	76.3	77.4	81.4	85.4	86.6	87.3	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
32	Biparietal Diameter	77.8	78.5	79.7	83.8	87.8	89.0	89.8	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
33	Biparietal Diameter	79.8	80.6	81.8	85.9	90.1	91.3	92.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
34	Biparietal Diameter	81.7	82.4	83.7	87.9	92.2	93.4	94.1	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
35	Biparietal Diameter	83.3	84.1	85.3	89.7	94.0	95.2	96.0	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
36	Biparietal Diameter	84.7	85.5	86.8	91.2	95.7	96.9	97.7	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
37	Biparietal Diameter	85.9	86.7	88.0	92.5	97.1	98.4	99.2	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
38	Biparietal Diameter	86.7	87.6	88.9	93.6	98.3	99.6	100.5	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
39	Biparietal Diameter	87.3	88.2	89.6	94.4	99.2	100.6	101.5	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
40	Biparietal Diameter	87.5	88.4	89.9	94.9	99.9	101.3	102.3	grow_fetal-ct_bpd_table.txt	2025-09-26T17:27:11
