cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,fetuses[].efws,,null,empty,,1/5,,,,,,,,
biometry,fetuses[].efws[].calculated_percentile,"EFW (AC, BPD)",float|int,decimal|integer,51.2|52|81.1|71.2,4/5,,,,,,,,
biometry,fetuses[].efws[].calculated_percentile,"EFW (AC, FL)",float,decimal,63.7|55.6|61.8|74.9,4/5,,,,,,,,
biometry,fetuses[].efws[].calculated_percentile,"EFW (AC, FL, HC)",float,decimal,55.6|36.3|53.2|65.2,4/5,,,,,,,,
biometry,fetuses[].efws[].decimal_paces,"EFW (AC, BPD)",int,integer,0,4/5,,,,,,,,
biometry,fetuses[].efws[].decimal_paces,"EFW (AC, FL)",int,integer,0,4/5,,,,,,,,
biometry,fetuses[].efws[].decimal_paces,"EFW (AC, FL, HC)",int,integer,0,4/5,,,,,,,,
biometry,fetuses[].efws[].fetus_number,"EFW (AC, BPD)",int,integer,1,4/5,,,,,,,,
biometry,fetuses[].efws[].fetus_number,"EFW (AC, FL)",int,integer,1,4/5,,,,,,,,
biometry,fetuses[].efws[].fetus_number,"EFW (AC, FL, HC)",int,integer,1,4/5,,,,,,,,
biometry,fetuses[].efws[].label,"EFW (AC, BPD)",str,coded_text,"EFW (AC, BPD)",4/5,,,,,,,,
biometry,fetuses[].efws[].label,"EFW (AC, FL)",str,coded_text,"EFW (AC, FL)",4/5,,,,,,,,
biometry,fetuses[].efws[].label,"EFW (AC, FL, HC)",str,coded_text,"EFW (AC, FL, HC)",4/5,,,,,,,,
biometry,fetuses[].efws[].percentile_for_display,"EFW (AC, BPD)",str,percentile,51%|52%|81%|71%,4/5,,,,,,,,
biometry,fetuses[].efws[].percentile_for_display,"EFW (AC, FL)",str,percentile,64%|56%|62%|75%,4/5,,,,,,,,
biometry,fetuses[].efws[].percentile_for_display,"EFW (AC, FL, HC)",str,percentile,56%|36%|53%|65%,4/5,,,,,,,,
biometry,fetuses[].efws[].print_in_report,"EFW (AC, BPD)",int,integer,0,4/5,,,,,,,,
biometry,fetuses[].efws[].print_in_report,"EFW (AC, FL)",int,integer,0,4/5,,,,,,,,
biometry,fetuses[].efws[].print_in_report,"EFW (AC, FL, HC)",int,integer,1,4/5,,,,,,,,
biometry,fetuses[].efws[].range,"EFW (AC, BPD)",str,empty,,4/5,,,,,,,,
